time,name,altitude,azimuth,latency,throughput_mbps,packet_loss_percent
2026-03-04 17:56:04.673300+00:00,STARLINK-1008,-47.18961156971141,286.41848387967696,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1012,-7.173044577672461,75.75305248990844,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1017,-78.1076278595953,256.3777523661527,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1019,-61.4224356822039,316.1867907198196,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1020,-69.58172962884429,114.3364571296836,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1031,-33.66203021777865,319.3261904348714,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1036,0.5511278126808679,12.497649874354014,71.72443609365956,50.82669171902131,4.834661656195739
2026-03-04 17:56:04.673300+00:00,STARLINK-1039,-55.795428783638776,249.78945394004668,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1042,-73.89605315975903,74.43235889885533,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1043,-70.2666821985299,122.24206014652297,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1046,-56.23851786665293,252.19805376987372,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1047,-31.61859438583779,312.4761774796292,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1048,-82.60012729558665,193.5928241825757,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1053,-19.19707285126318,208.02587613473193,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1063,-26.67872582322076,63.96577316937218,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1067,-53.88970070085242,259.1890625962277,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1068,-77.66466431912055,152.07713719344903,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1112,-61.635242724790054,230.30384700826772,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1114,-64.99639240409631,291.8716060905823,,0.0,100.0
2026-03-04 17:56:04.673300+00:00,STARLINK-1123,-40.76002758132586,24.752917778546536,,0.0,100.0
2026-03-04 17:57:04.673300+00:00,STARLINK-1008,-45.34944386012837,287.70384416103997,,0.0,100.0
2026-03-04 17:57:04.673300+00:00,STARLINK-1012,-9.360183434150516,80.0452339565206,,0.0,100.0
2026-03-04 17:57:04.673300+00:00,STARLINK-1017,-76.65249566602259,262.10930373897736,,0.0,100.0
2026-03-04 17:57:04.673300+00:00,STARLINK-1019,-59.458091534987666,316.3016202114966,,0.0,100.0
